FIPS,State,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020,07/02/2020,07/03/2020,07/04/2020,07/05/2020,07/06/2020,07/07/2020,07/08/2020,07/09/2020,07/10/2020,07/11/2020,07/12/2020,07/13/2020,07/14/2020,07/15/2020,07/16/2020,07/17/2020,07/18/2020,07/19/2020,07/20/2020,07/21/2020,07/22/2020,07/23/2020,07/24/2020,07/25/2020,07/26/2020,07/27/2020,07/28/2020,07/29/2020,07/30/2020,07/31/2020,08/01/2020,08/02/2020,08/03/2020,08/04/2020,08/05/2020,08/06/2020,08/07/2020,08/08/2020,08/09/2020,08/10/2020,08/11/2020,08/12/2020,08/13/2020,08/14/2020,08/15/2020,08/16/2020,08/17/2020,08/18/2020,08/19/2020,08/20/2020,08/21/2020,08/22/2020,08/23/2020,08/24/2020,08/25/2020,08/26/2020,08/27/2020,08/28/2020,08/29/2020,08/30/2020,08/31/2020,09/01/2020,09/02/2020,09/03/2020,09/04/2020,09/05/2020,09/06/2020,09/07/2020,09/08/2020,09/09/2020,09/10/2020,09/11/2020,09/12/2020,09/13/2020,09/14/2020,09/15/2020,09/16/2020,09/17/2020,09/18/2020,09/19/2020,09/20/2020,09/21/2020,09/22/2020,09/23/2020,09/24/2020,09/25/2020,09/26/2020,09/27/2020,09/28/2020,09/29/2020,09/30/2020,10/01/2020,10/02/2020,10/03/2020,10/04/2020,10/05/2020,10/06/2020,10/07/2020,10/08/2020,10/09/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/01/2020,11/02/2020,11/03/2020,11/04/2020,11/05/2020,11/06/2020,11/07/2020,11/08/2020,11/09/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/01/2020,12/02/2020,12/03/2020,12/04/2020,12/05/2020,12/06/2020,12/07/2020
11,D.C.,1825,1903,1991,2125,2269,2390,2575,2697,2822,2986,3079,3222,3375,3534,3663,3707,3804,3901,3439,3761,3891,4099,4246,4391,4376,4544,4770,4912,5069,5180,5263,5300,5412,5528,5669,5717,5850,5994,6085,6315,6406,6464,6603,6705,6814,6879,6957,6989,7155,7219,7263,7279,7405,7507,7582,7648,7700,7755,7836,7895,7944,8005,8055,8102,8129,8143,8169,8221,8260,8287,8315,8341,8375,8405,8434,8453,8474,8499,8541,8506,8361,8371,8383,8367,8381,8401,8434,8453,8449,8472,8516,8542,8582,8604,8646,8659,8675,8739,8797,8851,8915,8975,8970,1486,1533,1592,1637,1698,1692,1696,1657,1657,1603,1834,1852,1841,1837,1882,1939,2006,2028,2071,2066,2069,2108,2110,2130,2155,2131,2158,2088,2095,2130,2118,2200,2195,2156,2203,2236,2274,2266,2280,2292,2258,2272,2278,2304,2313,2338,2337,2320,2298,2351,2316,2402,2414,2441,2435,2408,2431,2460,2506,2501,2514,2500,2529,2550,2562,2589,2587,2559,2544,2528,2542,2592,2589,2610,2671,2671,2700,2753,2790,2816,2846,2848,2867,2847,2883,2900,2928,2930,2919,2918,2916,2939,2996,3021,2991,3047,3053,3104,3150,3272,3374,3348,3360,3353,3379,3402,3426,3504,3513,3539,3686,3747,3849,3996,4135,4133,4313,4323,4422,4440,4470,4599,4683,4651,4558,4658,4784,4757,5097,5126,5086,5082,5204,5413,5581,5774,5885
44,Rhode Island,2602,2602,3171,3171,3442,4059,4354,4556,4935,5329,5660,6067,6497,6914,7213,7475,7688,7996,7894,8198,8462,8592,8710,8939,9170,9446,9650,9799,10043,10179,10307,10487,10645,10821,10998,11203,11277,11396,11788,11968,12073,12249,12338,12338,12418,12523,12631,12736,12883,12958,12990,13078,13166,13243,13333,13333,13333,13453,13485,13538,13620,13679,13679,13679,13768,13820,13848,13882,13928,13928,13928,14002,14065,14121,14132,14134,14134,14134,14191,14232,14259,14338,14374,14374,14374,14374,14508,14550,14585,14651,14651,14651,14812,14911,14946,15012,15086,15086,15086,15171,15249,15316,15388,15453,15453,15453,15719,15917,15983,16130,16192,16192,16192,16398,16531,16614,16731,16848,16848,16848,17019,17126,17182,17278,17361,17361,17361,17567,17664,17755,17822,17961,17961,17961,18215,18274,18344,18472,18553,18553,18553,18793,18839,18897,18951,19041,19041,19041,19041,19354,19429,19518,19633,19633,19633,19832,19944,20042,20167,20288,20288,20288,20567,20673,20800,20927,20796,20796,20796,21036,21127,21312,21455,21612,21612,21612,21917,22078,22248,22510,22742,22742,22742,22742,23358,23536,23796,24038,24038,24038,24642,24927,25374,25826,26339,26339,26339,27182,27585,28023,28376,28910,28910,28910,30099,30506,31052,31647,32265,32265,32265,33818,34572,35513,36462,37189,37189,37189,39481,40055,41394,42386,43393,43393,43393,45828,46630,47472,47472,48989,48989,48989,51613,52749,53775,55430,56785,56785,56785,60266
24,Maryland,7989,8674,9170,9721,10465,11238,11905,12386,13102,13541,14077,14989,15818,16891,17671,18542,19097,19771,19170,20875,21632,22515,23396,23917,24823,25842,26884,27761,28650,29392,29911,30547,31468,32390,33205,33996,34922,36597,37207,38273,38974,39969,40717,41521,42020,42630,43813,44951,45857,46482,46993,47723,48371,49205,49909,50567,50984,51388,51814,52311,52957,53239,53843,54221,54518,54848,55377,55573,55833,56159,56467,56753,57118,57419,57774,58070,58358,58633,59100,59387,59712,60198,60715,61080,61360,61629,62094,62501,63027,63450,63967,64560,64972,65688,66437,67031,67726,68494,69410,69959,70763,71333,71993,72910,74187,74874,75995,76474,77215,78097,79164,80146,81046,81881,82584,83141,83664,84403,85105,86008,86757,87304,87816,88578,89258,90062,90569,91066,91577,91958,92520,93178,93791,94364,94928,95283,95708,96261,96813,97424,97915,98370,98126,98527,99195,99970,100712,101217,101967,102290,102602,103088,103710,104476,105047,105578,106142,106747,107347,107842,108494,108900,109307,109623,109999,110475,111011,111589,112005,112466,112856,113240,113993,114666,115210,115679,116173,116576,117026,117770,118465,119079,119620,120120,120587,121084,121669,122428,123211,123730,124221,124768,125218,125910,126583,127341,128119,128678,129534,130193,131116,132013,132953,133794,134639,135381,136359,137527,139049,140430,141493,142853,144171,145861,147316,149153,151435,153254,154967,157062,159051,161920,164214,167058,169199,170838,172466,175094,177372,179724,181247,183215,185121,187849,189992,191960,195650,198784,201396,203667
51,Virginia,5133,5598,6028,6305,6681,7260,7795,8265,8690,9306,9917,10625,11183,11929,12521,13078,13847,14440,13191,14125,14809,15515,16262,16927,16927,17976,18533,19245,20041,20947,21508,22264,23179,23889,24771,25385,26018,26832,27310,28259,28851,29543,29971,31374,32879,33601,34591,35527,36496,37364,38107,38821,39312,40127,40686,41554,42671,43217,43565,43837,44232,44675,45197,45782,46104,46420,46763,47159,47628,48229,48737,49182,49624,50088,50453,51002,51555,51999,52426,52944,53286,53423,53837,54519,55111,55440,55946,56459,56986,57784,58549,59394,60344,61043,62008,62780,63537,64372,65386,66237,67088,68011,68704,69721,70734,71607,73050,73349,74218,75035,75777,76579,77456,78633,79622,80253,80933,82840,84024,84837,85461,86249,86922,87870,88991,89675,90523,91209,91976,92620,93361,94172,95272,96050,96670,97551,98251,99278,100162,101269,102161,102910,103782,104558,105590,106584,107368,108516,109090,109894,110565,111691,112717,113870,114708,115389,116142,116851,117778,118896,119710,120502,121100,121847,122334,123147,123975,124870,125401,125791,126584,127254,127598,128491,129506,130524,131156,131545,131962,133667,134695,135811,136562,137351,138421,139111,140322,141394,142380,143212,143810,144618,145523,146725,147789,148762,149679,150503,151489,153352,154715,156067,157528,158693,159636,160707,161787,162225,163722,165728,166974,168146,169470,170902,172267,173382,174808,175908,178469,180461,182379,184033,186473,188688,190725,193843,196105,198667,201122,202542,205606,207822,209574,211577,213747,215574,218222,221861,225618,229261
